name,owner,resource_name,settlement_point,nameplate_mw,energy_capacity_mwh,load_zone,company,duration_hr,duration_class
Coral U1,PEER,CORALSLR_BESS1,CORALSLR_ALL,48.4,61.4,north,National Grid Renewables,1.27,1hr
Coral U2,PEER,CORALSLR_BESS2,CORALSLR_ALL,52.2,59.4,north,National Grid Renewables,1.14,1hr
Corazon,PEER,CORAZON_BESS1,CORAZON_RN,205.0,200.0,,Eni New Energy,0.98,1hr
Cottonwood Bayou,PEER,CTW_BESS1,CTW_RN,153.0,225.0,,TotalEnergies,1.47,1hr
Crockett 1,PEER,CR_BESS1,CR_RN,9.9,20.0,houston,Prologis,2.02,2hr
Crosby,PEER,CS_BESS,CS_RN,9.9,20.0,houston,On.Energy,2.02,2hr
Cross Trails,PEER,CROSSTRL_BESS1,CROSSTRL_RN,58.0,114.0,west,Energy Vault,1.97,2hr
Crossett Power 1,PEER,CROSSETT_BES1,CROSSETT_ALL,101.5,100.0,west,Jupiter Power,0.99,1hr
Crossett Power 2,PEER,CROSSETT_BES2,CROSSETT_ALL,101.5,100.0,west,Jupiter Power,0.99,1hr
Cunningham,PEER,TURQBESS_BESS1,TURQ_BESS1,190.0,380.0,north,ACCIONA Energia,2.0,2hr
Damon,PEER,DA_BESS,DA_BESS,4.98,9.7,houston,Vopak Energy Storage Texas,1.95,2hr
Danish Fields U1,PEER,DAN_BESS1,DAN_ALL,77.8,115.0,south,TotalEnergies,1.48,1hr
Danish Fields U2,PEER,DAN_BESS2,DAN_ALL,75.1,110.0,south,TotalEnergies,1.46,1hr
Decordova 1,PEER,DCSES_BES1,DC2SES_ALL,67.3,67.3,north,Vistra corp,1.0,1hr
Decordova 2,PEER,DCSES_BES2,DC2SES_ALL,67.3,67.3,north,Vistra corp,1.0,1hr
Decordova 3,PEER,DCSES_BES3,DC2SES_ALL,64.2,64.2,north,Vistra corp,1.0,1hr
Decordova 4,PEER,DCSES_BES4,DC2SES_ALL,64.2,64.2,north,Vistra corp,1.0,1hr
Desert Willow,PEER,DSWL_ESS_BES1,DSWL_BES1,150.0,300.0,north,esVolta,2.0,2hr
Dickens U1,PEER,DKNS_ESS_BES1,DKNS_ESS_RN,50.0,50.0,west,ENGIE,1.0,1hr
Dickens U2,PEER,DKNS_ESS_BES2,DKNS_ESS_RN,50.0,50.0,west,ENGIE,1.0,1hr
Dickens U3,PEER,DKNS_ESS_BES3,DKNS_ESS_RN,50.0,50.0,west,ENGIE,1.0,1hr
Dickens U4,PEER,DKNS_ESS_BES4,DKNS_ESS_RN,50.0,50.0,west,ENGIE,1.0,1hr
Dickinson (DGR),PEER,DICKNSON_UNIT1,BRP_DIKN_RN,9.9,9.9,houston,ENGIE,1.0,1hr
Dogfish,PEER,DGFS_ESR_BESS1,DGFS_ESR_RN,75.0,91.5,west,Gore Street Energy Storage Fund,1.22,1hr
